host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server
h11,175.913,0.0,26,1,10000000,277467.550617284,47998066,64376292,25.756155,0.966244,14.716492,67209812,60293120,6916692,10.29119379176362,3,h14
h6,563.832,0.0,30,1,10000000,318838.49202733487,57241156,82728942,21.273716,0.944274,12.53943,67209812,59506688,7703124,11.461308655349312,3,h14
h13,213.003,0.0,43,2,10000000,23085.69230769231,4986,1795698,36.818815,0.996023,24.004862,67209812,67371008,-161196,-0.239839980507608,3,h14
h1,320.222,0.0,94,4,10000000,19833.53846153846,4692,1800160,38.144828,0.997467,25.963983,67209812,67371008,-161196,-0.239839980507608,3,h10
h2,330.622,0.0,87,4,10000000,22424.864,997830,1805278,35.306998,0.993289,21.732305,67209812,67108864,100948,0.1501983073542893,3,h10
h3,373.842,0.0,106,4,10000000,37145.7106918239,4084054,1822114,30.403347,0.985049,18.253227,67209812,66060288,1149524,1.7103514588018789,3,h10
h4,627.411,0.0,72,3,10000000,47273.751295336784,7291324,1832510,36.550869,0.994496,22.593318,67209812,67108864,100948,0.1501983073542893,3,h14
h5,402.986,0.0,45,2,10000000,53785.36403508772,10374684,1888379,30.1493,0.984029,17.966651,67209812,66060288,1149524,1.7103514588018789,3,h14
h7,322.618,0.0,63,3,10000000,75147.68320610687,15530176,4158517,26.973324,0.971591,15.465491,67209812,62914560,4295252,6.390810913144645,3,h14
h8,340.166,0.0,42,2,10000000,112849.13851351352,22803138,10600207,26.209204,0.968185,14.973706,67209812,60555264,6654548,9.90115550390172,3,h14
h9,321.94,0.0,63,3,10000000,162191.83333333334,32146452,21376853,25.503777,0.964216,14.463154,67209812,59506688,7703124,11.461308655349312,3,h14
h11,242.383,0.0,105,2,10000000,212114.9313186813,40690232,36519603,26.903849,0.97129,15.41974,67209812,62914560,4295252,6.390810913144645,3,h10
h12,311.964,0.0,157,3,10000000,263746.2185929648,47953664,57017331,26.345086,0.969269,15.124173,67209812,60555264,6654548,9.90115550390172,3,h10
h6,274.505,0.0,158,3,10000000,323294.8958333333,57240562,82422833,25.494588,0.963313,14.354911,67209812,59506688,7703124,11.461308655349312,3,h10
h1,308.38,0.0,79,4,10000000,568.8552631578947,4908,38325,36.423983,0.995635,23.600392,67209812,67371008,-161196,-0.239839980507608,3,h10
h2,342.674,0.0,58,3,10000000,498.561797752809,4818,39554,36.808069,0.995718,23.683078,67209812,67371008,-161196,-0.239839980507608,3,h14
h3,231.239,0.0,38,2,10000000,8459.040650406505,995762,44700,36.534214,0.994664,22.727755,67209812,67108864,100948,0.1501983073542893,3,h14
