host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,type,server
h12,,100.0,71,5,10000000,14959.010752688171,5028,1386160,36.417407,0.995717,23.682542,3,h14
h13,208.989,0.0,76,2,10000000,13202.811320754718,4896,1394602,36.131225,0.996025,24.006569,3,h10
h6,260.836,0.0,73,3,10000000,17042.0,1016594,1403370,36.171387,0.994334,22.467478,3,h10
h5,308.607,0.0,89,4,10000000,31490.13483146068,4187634,1417610,29.680074,0.981194,17.257088,3,h10
h4,334.685,0.0,89,3,10000000,41606.65581395349,7507476,1437955,36.68906,0.994903,22.926708,3,h14
h3,287.812,0.0,64,2,10000000,48358.64143426295,10679944,1458075,29.912781,0.983252,17.760325,3,h14
h2,336.728,0.0,93,3,10000000,61073.22648083624,16017290,1510726,26.815074,0.970769,15.341543,3,h14
h1,254.782,0.0,92,3,10000000,82561.8080495356,23482642,3184822,26.080965,0.968271,14.985489,3,h14
h7,625.539,0.0,87,3,10000000,110296.72777777778,33075480,6631342,21.470111,0.945575,12.642037,3,h14
h8,881.053,0.0,79,3,10000000,136644.74242424243,41927444,12183874,26.815061,0.971087,15.389133,3,h10
h9,672.888,0.0,47,2,10000000,161157.19907407407,49340378,20279532,25.983673,0.967955,14.942411,3,h10
h11,536.093,0.0,49,2,10000000,191156.92307692303,59044788,30416652,25.584107,0.964089,14.447732,3,h10
h13,234.74,0.0,72,2,10000000,19410.1,4860,1742049,35.865279,0.993955,22.185963,3,h10
h6,546.569,0.0,100,4,10000000,17113.203883495145,5196,1757464,36.298395,0.994927,22.947317,3,h14
h5,296.179,0.0,39,2,10000000,20039.251798561152,1015536,1769920,32.462484,0.989089,19.621295,3,h14
h4,256.799,0.0,64,3,10000000,34000.5,4192656,1791432,23.784352,0.964594,14.50929,3,h14
h3,655.904,0.0,98,4,10000000,43828.981132075474,7507476,1784268,29.090676,0.979834,16.953859,3,h10
h2,458.276,0.0,88,4,10000000,50246.78225806452,10648494,1812708,26.877832,0.97055,15.309093,3,h10
h1,316.769,0.0,92,4,10000000,62819.05985915493,15982458,1858155,25.996693,0.96061,14.046102,3,h10
h7,317.695,0.0,89,4,10000000,79430.10625,23507350,1910284,25.421895,0.960818,14.069155,3,h10
h8,259.353,0.0,75,3,10000000,98531.76685393258,33105976,1971333,25.574898,0.961194,14.111024,3,h10
h9,260.854,0.0,189,3,10000000,114269.71501272263,41967848,2940150,26.143877,0.963387,14.363705,3,h14
h11,157.606,0.0,64,1,10000000,122205.13286713288,49420896,3005106,25.777063,0.963073,14.32655,3,h14
h12,208.501,0.0,129,2,10000000,133666.26666666666,59069650,3085164,21.675366,0.940048,12.221962,3,h14
h6,173.937,0.0,26,1,10000000,1067.821428571429,5030,84667,35.58446,0.993955,22.186105,3,h14
h5,520.873,0.0,90,4,10000000,934.2577319587627,4862,85761,35.43253,0.993871,22.125815,3,h10
h4,270.382,0.0,74,3,10000000,8289.097014925374,1016560,94179,23.888147,0.971687,15.480142,3,h10
h3,313.165,0.0,98,4,10000000,25299.35882352941,4192238,108653,23.770502,0.960483,14.032148,3,h10
h2,639.793,0.0,73,3,10000000,37055.703883495145,7506580,126895,31.231114,0.986604,18.730093,3,h14
h1,373.553,0.0,76,3,10000000,44745.15289256199,10677620,150707,27.063391,0.969318,15.131227,3,h14
h7,271.512,0.0,69,3,10000000,58289.75179856115,16017502,187049,22.537791,0.948081,12.84674,3,h14
h8,214.667,0.0,46,2,10000000,75452.69108280254,23462320,229825,24.772089,0.958352,13.804104,3,h14
h9,262.135,0.0,71,3,10000000,95204.94871794872,33135228,281709,20.938056,0.932827,11.728028,3,h14
h11,213.067,0.0,50,2,10000000,109311.68217054264,41935606,368015,25.423742,0.963135,14.333848,3,h10
h12,275.48,0.0,82,3,10000000,117751.87470449173,49380080,428963,25.093487,0.959204,13.893856,3,h10
