host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server,real_mos
h23,304.701,0.0,50,2,10000000,14.758041,0.61459,4.140767,67209812,38273024,28936788,43.05440997216299,1,h14,2
h1,289.026,0.0,89,4,10000000,14.591893,0.607687,4.063675,67209812,35389440,31820372,47.34483113864386,1,h14,2
h2,261.592,0.0,68,3,10000000,14.648246,0.610829,4.098597,67209812,32505856,34703956,51.63525230512474,1,h14,2
h3,204.845,0.0,50,2,10000000,14.112945,0.594874,3.924098,67209812,30670848,36538964,54.36552032015801,1,h14,2
h4,337.848,0.0,79,3,10000000,14.103579,0.598568,3.963876,67209812,29360128,37849684,56.315711759467504,1,h14,2
h5,224.8,0.0,50,2,10000000,14.087807,0.595072,3.926223,67209812,27262976,39946836,59.436018062362685,1,h14,2
h7,263.204,0.0,69,3,10000000,14.349297,0.619132,4.192252,67209812,25690112,41519700,61.77624778953407,1,h14,2
h6,333.93,0.0,25,1,10000000,13.955763,0.614258,4.137032,67209812,24641536,42568276,63.336400940981655,1,h14,2
h9,1228.973,0.0,23,2,10000000,20.754975,0.824532,7.558029,67209812,66846720,363092,0.5402365952161866,1,h10,2
h11,1092.344,0.0,20,2,10000000,19.027251,0.778945,6.554997,67209812,63963136,3246676,4.830657761697057,1,h10,2
h12,2418.214,0.0,34,3,10000000,16.894319,0.719753,5.524583,67209812,58720256,8489556,12.631423518935003,1,h10,2
h13,2386.356,0.0,15,2,10000000,15.815324,0.677371,4.912963,67209812,51642368,15567444,23.16245729120623,1,h10,2
h21,315.283,0.0,68,4,10000000,14.750473,0.623518,4.242559,67209812,45350912,21858900,32.52337619989177,1,h10,2
h22,1163.108,0.0,83,5,10000000,10.232774,0.487531,2.90332,67209812,50855936,16353876,24.33257215479192,1,h10,1
h23,346.313,0.0,60,4,10000000,14.58063,0.640265,4.440173,67209812,38273024,28936788,43.05440997216299,1,h10,2
