host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server,real_mos
100,2.0,10000000.0,22.261501,0.93354,11.774409,67209812.0,62128128.0,5081684.0,7.560925776730339,2,h10,,,,
44,1.0,10000000.0,25.49042,0.966229,14.714576,67209812.0,62914560.0,4295252.0,6.390810913144645,2,h14,,,,
134,3.0,10000000.0,21.248901,0.922842,11.126174,67209812.0,59506688.0,7703124.0,11.461308655349312,2,h10,,,,
145,2.0,10000000.0,24.562451,0.941422,12.32268,67209812.0,59506688.0,7703124.0,11.461308655349312,2,h14,,,,
231,6.0,10000000.0,9.057327,0.479723,2.837656,67209812.0,57671680.0,9538132.0,14.191576670382592,2,h10,,,,
39,1.0,10000000.0,19.724333,0.88964,9.571898,67209812.0,57409536.0,9800276.0,14.58161495824449,2,h14,,,,
136,5.0,10000000.0,31.501684,0.990062,20.026836,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h10,,,,
89,4.0,10000000.0,35.912278,0.99503,23.036781,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h14,,,,
137,4.0,10000000.0,34.836609,0.992239,21.100796,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h10,,,,
97,3.0,10000000.0,34.62483,0.992906,21.491093,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h14,,,,
117,3.0,10000000.0,25.812606,0.973659,15.793728,67209812.0,65798144.0,1411668.0,2.1003897466637755,2,h10,,,,
121,3.0,10000000.0,27.37797,0.976594,16.306696,67209812.0,66060288.0,1149524.0,1.7103514588018789,2,h14,,,,
92,2.0,10000000.0,24.930454,0.965151,14.57808,67209812.0,62914560.0,4295252.0,6.390810913144645,2,h10,,,,
75,2.0,10000000.0,26.32785,0.970723,15.334772,67209812.0,62914560.0,4295252.0,6.390810913144645,2,h14,,,,
91,2.0,10000000.0,25.628445,0.965759,14.654586,67209812.0,60555264.0,6654548.0,9.90115550390172,2,h10,,,,
78,3.0,10000000.0,26.051924,0.966899,14.801596,67209812.0,60555264.0,6654548.0,9.90115550390172,2,h14,,,,
142,4.0,10000000.0,25.738636,0.960946,14.083322,67209812.0,59506688.0,7703124.0,11.461308655349312,2,h10,,,,
49,1.0,10000000.0,25.068614,0.960595,14.044472,67209812.0,59506688.0,7703124.0,11.461308655349312,2,h14,,,,
79,3.0,10000000.0,34.523766,0.993741,22.03526,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h10,,,,
46,2.0,10000000.0,36.420685,0.995962,23.938425,67209812.0,67371008.0,-161196.0,-0.239839980507608,2,h14,,,,
101,4.0,10000000.0,33.415911,0.991567,20.740087,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h10,,,,
51,2.0,10000000.0,34.477134,0.992917,21.498082,67209812.0,67108864.0,100948.0,0.1501983073542893,2,h14,,,,
